4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Days = 1576
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Service Fee Amount = 0.0
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , From Date = Sun Apr 01 15:54:49 IST 2007
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , To Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateAllServiceFee , After calculating service fee for application:CG200201681TC
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateAllServiceFee , Before calculating service fee for application:CG200204454TC
4 , 06/11/2008 15:54:49:637 , AdminDAO , getParameter , Entered
4 , 06/11/2008 15:54:49:637 , AdminDAO , getParameter , Exited
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Entering
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , application.getScheme() RSF
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Current Year = 2008
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Current Month = 10
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , Current Date = 6
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , As On Date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:637 , RpDAO , calculateServiceFee , CGPAN = CG200204454TC
4 , 06/11/2008 15:54:49:637 , RpProcessor , isServiceFeeCalculated , Entering
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Entering
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , CGPAN = CG200204454TC
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , As on date = Mon Mar 31 15:54:49 IST 2008
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Establishing connection
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Registering output parameter
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , setting CGPAN = CG200204454TC
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , setting as on date = 2008-03-31
4 , 06/11/2008 15:54:49:637 , RpDAO , getServiceFeeCount , Registering output parameter for service fee count
